conference_acronym	conference_name	conference_location
AISP-2017	Artificial Intelligence and Signal Processing	Shiraz
IEEE ITOEC 2017	2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference	Chongqing
IEEE--ICAVE 2017	2017 International Conference on Automotive and Vehicle Engineering (ICAVE 2017)-IEEE Xplore and Ei Compendex	Singapore
ICITE 2017	2017 2nd International Conference on Intelligent Transportation Engineering (ICITE 2017)-IEEE Xplore and Ei Compendex	Singapore
ICCIA 2017	2017 the 2nd IEEE International Conference on Computational Intelligence and Applications	Beijing, China
IEEE CISDA 2017	2017 IEEE Symposium on Computational Intelligence for Security and Defense Applications	Honolulu, Hawaii, USA
ISAIR 2017	The 2nd International Symposium on Artificial Intelligence and Robotics 2017	Kitakyushu, Japan
LPKM 2017	International Workshop on Language Processing and Knowledge Management	Kerkenah Sfax Tunisia
ICIS 2017	The Second International Conference on Intelligence Science	Shanghai, China
AIAAT 2017	2017 International Conference on Artificial Intelligence Applications and Technologies(AIAAT 2017)	Hawaii, USA
CICLOPS 2017	15th International Colloquium on Implementation of Constraint and LOgic Programming Systems	Melbourne, Australia
KDWEB 2017	3rd International Workshop on Knowledge Discovery on the Web	Cagliari, Italy
CEEC 2017	9th Computer Science & Electronic Engineering Conference	Colchester, UK
RecSysKTL 2017	Workshop on Intelligent Recommender Systems by Knowledge Transfer and Learning	Como, Italy
BFAL 2017	International Conference on Brain Function Assessment in Learning	Patras
ACLing 2017	The Third International Conference on Arabic Computational Linguistics	Dubai, UAE
ISDM 2017	ISDM@INTELLI 2017 : Intelligent Support for Decision Making at INTELLI 2017	Nice, France
IJCAI-CAI4HCD 2017	IJCAI 2017 WORKSHOP ON: COGNITION AND ARTIFICIAL INTELLIGENCE FOR HUMAN-CENTRED DESIGN	Melbourne, Australia
SYNASC 2017	19th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing	Timisoara, Romania
PLP 2017	Probabilistic logic programming 2017	Orl̩ans, France
IEEE--ISCBI 2017	ISCBI 2017 (5th International Symposium on Computational and Business Intelligence)-IEEE Xplore and Ei Compendex	Dubai, UAE
ICONIP 2017	International Conference on Neural Information Processing	Guangzhou, China
ICDME-IOP 2017	2nd International Conference on Design and Manufacturing Engineering (ICDME 2017)--Ei Compendex	Guangzhou, China
ICISIP 2017	The 5th IIAE International Conference on Intelligent Systems and Image Processing 2017	Hawaii, USA
CILC 2017	32nd Italian Conference on Computational Logic	Naples, Italy
DS 2017	The 20th International Conference on Discovery Science	Kyoto, Japan
LL@ICML 2017	Workshop on Lifelong Learning: A Reinforcement Learning Approach @ICML 2017	Sydney, Australia
AI*IA 2017	16th International Conference of the Italian Association for Artificial Intelligence	Bari, Italy
ISSEA 2017	Special Session on Intelligent Systems and Software Engineering Advances	Druskininkai, Lithuania
SocInf 2017	3rd International Workshop on Social Influence Analysis	Melbourne, Australia
ICITCS 2017	iCatse International Conference on IT Convergence and Security	Seoul, South Korea
DX 2017	28th International Workshop on Principles of Diagnosis	Brescia, Italy
WAAE 2017	IJCAI-17 Workshop on AI Applications in E-Commerce	Melbourne, Australia
IEEE--ICSGSC 2017	2017 IEEE International Conference on Smart Grid and Smart Cities (ICSGSC 2017)--IEEE Xplore and Ei Compendex	Singapore
CRC 2017	2nd International Conference on Cybernetics, Robotics and Control	Chengdu, China
SML 2017	IJCAI Workshop on Semantic Machine Learning (SML 2017)	Melbourne, Australia
CCKS 2017	China Conference on Knowledge Graph and Semantic Computing (CCKS2017)	Chengdu, China
ICAIR 2017	2017 2nd International Conference on Artificial Intelligence and Robotics (ICAIR 2017)	Prague, Czech Republic
WISTIPS 2017	INFORMATION AND SOFTWARE TECHNOLOGIES FOR INTELLIGENT POWER SYSTEMS	Druskininkai, Lithuania
BRACIS 2017	6th Brazilian Conference on Intelligent Systems	Uberlandia, MG, Brazil
RAAI 2017	1st Conference on Recent Advances in Artificial Intelligence (RAAI)	Bucharest, Romania
